"NAME","F_CLASS","F_DESIG","LAT","LONG","ADM1","ADM2"
"Zogodo","P","PPL","  12.4666","  11.5500","Yobe","Damaturu"
"Zogo","P","PPL","  12.6666","  12.7166","Borno","Mobbar"
"Zogirma","P","PPL","  12.2666","   3.9666","Kebbi","Bunza"
"Zogana","P","PPL","  12.7500","   8.1333","Katsina","Ingawa"
"Zobe","P","PPL","  12.3833","   7.4833","Katsina","Dutsin-M"
"Zo","P","PPL","   9.4500","  11.2166","Taraba","Karim-La"
"Ziyiko","P","PPL","   8.9333","   6.3000","Niger","Bida"
"Ziyara","P","PPL","  11.3500","   8.9333","Kano","Sumaila"
"Zirifi","H","STM","   9.9166","   6.2166","Niger","Rafi"
"Ziri","H","STM","  11.0333","   8.7000","Kano","TudunWad"
"Zirgi Ngelewa","P","PPL","  12.5666","  12.4000","Borno","Kaga"
"Zip Marshes","H","MRSH","   8.7500","  10.7166","Taraba","Karim-La"
"Zip","P","PPL","   8.7333","  10.6500","Taraba","Karim-La"
"Zinna Dedi","P","PPL","   8.9500","  11.9666","Adamwara","Mayo-Bel"
"Zinna","P","PPL","   8.9833","  11.7500","Taraba","Zing"
"Zinkur","P","PPL","  11.0833","  11.3000","Bauchi","Nafada/B"
"Zindiwa","P","PPL","  11.8833","  10.8000","Bauchi","Gamawa"
"Zindiri","P","PPL","  11.4333","  10.2333","Bauchi","Shira"
"Zindi","P","PPL","  11.2833","  10.5500","Bauchi","Misau"
"Zinda","P","PPL","  12.9333","  12.7166","Borno","Mobbar"
"Zion","P","PPL","   6.4000","   4.8666","Ondo","Ikale"
"Zilum","P","PPL","  12.4333","  13.3500","Borno","Monguno"
"Zilad","P","PPL","  12.2833","  14.1166","Borno","Ngala"
"Zigiri","P","PPL","  12.1666","   4.8166","Sokoto","Tambawal"
"Zigindimi","P","PPL","  13.1166","  10.5333","Yobe","Nguru"
"Zigindi","P","PPL","  13.3666","  11.0166","Yobe","Nguru"
"Zigau","P","PPL","  11.4166","   9.9500","Bauchi","Shira"
"Ziem Peak","T","PK","  10.1333","   9.2000","Bauchi","Toro"
"Ziem","P","PPL","  10.1500","   9.2833","Bauchi","Toro"
"Zidna","P","PPL","   9.5666","   6.9833","Niger","Shiroro"
"Zidiya","T","HLL","  10.4166","  12.3000","Borno","Shani"
"Zideyeregbene","P","PPL","   5.0666","   5.7666","Delta","Burutu"
"Rafin Zibal","H","STM","  10.7666","  12.8500","Borno","Damboa"
"Ziawa","P","PPL","  11.2833","  11.0166","Yobe","Fika"
